material_id,domain,formula,stability_floor_e,threshold_e,status,reason
mp-1226636,bulk,CeB2Ir2Rh,7.298041e-09,0.01,ELIGIBLE,
mp-1228245,bulk,BaLa4Ti4O15,4.276480e-09,0.01,ELIGIBLE,
mp-1232323,bulk,Cu(BiO2)2,2.300691e-09,0.01,ELIGIBLE,
mp-12406,bulk,US3,1.779277e-09,0.01,ELIGIBLE,
mp-1245841,bulk,K6MoN4,4.260994e-06,0.01,ELIGIBLE,
mp-1246480,bulk,CoGeN2,2.182775e-09,0.01,ELIGIBLE,
mp-1246536,bulk,Co11(CN5)2,2.953685e-09,0.01,ELIGIBLE,
mp-1246548,bulk,In(FeN)2,5.640883e-09,0.01,ELIGIBLE,
mp-1247173,bulk,Mg2Mn3AlS8,7.196530e-09,0.01,ELIGIBLE,
mp-1261118,bulk,Zr4AlNi2,7.274350e-05,0.01,ELIGIBLE,
mp-1296,bulk,ErB6,1.146516e-08,0.01,ELIGIBLE,
mp-1300873,bulk,MoO4,2.689013e-09,0.01,ELIGIBLE,
mp-1303576,bulk,LiCo(CO3)2,4.343815e-09,0.01,ELIGIBLE,
mp-1369222,bulk,Mn2Nb2O9,7.354510e-04,0.01,ELIGIBLE,
mp-1388393,bulk,YCr2O4,1.228667e-04,0.01,ELIGIBLE,
mp-1399089,bulk,Zn2MoWO6,1.682182e-09,0.01,ELIGIBLE,
mp-1666665,bulk,Li7Mn5O12,3.716519e-09,0.01,ELIGIBLE,
mp-17103,bulk,Sr3Ta6(Si2O13)2,6.471058e-04,0.01,ELIGIBLE,
mp-1778,bulk,BeO,3.436642e-09,0.01,ELIGIBLE,
mp-1841520,bulk,Ba2Ca3Tl2(FeO3)4,2.152280e-04,0.01,ELIGIBLE,
mp-19133,bulk,YVO4,4.526004e-05,0.01,ELIGIBLE,
mp-20888,bulk,TmGeRu,5.215181e-09,0.01,ELIGIBLE,
mp-21054,bulk,PrSnPd,2.819716e-04,0.01,ELIGIBLE,
mp-21079,bulk,Tb(GeRu)2,1.655534e-09,0.01,ELIGIBLE,
mp-214,bulk,ZrRu,1.376989e-08,0.01,ELIGIBLE,
mp-21588,bulk,Sc2Fe3Si5,1.040023e-08,0.01,ELIGIBLE,
mp-2194,bulk,TiSe2,2.727896e-04,0.01,ELIGIBLE,
mp-2216496,bulk,MgCr2Fe3Ni(PO4)6,2.975483e-09,0.01,ELIGIBLE,
mp-2217743,bulk,MgTi2Mn2O6,2.450501e-09,0.01,ELIGIBLE,
mp-2227467,bulk,Sr2MgTiO4,9.040686e-09,0.01,ELIGIBLE,
mp-2229431,bulk,Rb4MgV2(CuS4)2,3.149239e-09,0.01,ELIGIBLE,
mp-2230770,bulk,MgFe6(O3F)3,3.005102e-05,0.01,ELIGIBLE,
mp-2233790,bulk,Mg(BiO2)4,2.940096e-09,0.01,ELIGIBLE,
mp-2240057,bulk,MgTe2Mo2W(SeS)2,1.389756e-04,0.01,ELIGIBLE,
mp-2242118,bulk,BaNdMgCo2O5,9.271856e-09,0.01,ELIGIBLE,
mp-22490,bulk,Sc3(NiGe)4,8.988769e-04,0.01,ELIGIBLE,
mp-24407,bulk,CdP2H6O7,3.930460e-09,0.01,ELIGIBLE,
mp-24460,bulk,MgH6(SO4)4,4.875108e-09,0.01,ELIGIBLE,
mp-26341,bulk,LiSbP2O7,3.530639e-09,0.01,ELIGIBLE,
mp-2647013,bulk,Mo,2.167114e-09,0.01,ELIGIBLE,
mp-26619,bulk,Li3V(PO4)2,2.436058e-09,0.01,ELIGIBLE,
mp-27239,bulk,Cs2VF6,2.017391e-09,0.01,ELIGIBLE,
mp-28105,bulk,Ni17S18,3.179260e-05,0.01,ELIGIBLE,
mp-30772,bulk,NdMg12,5.451270e-09,0.01,ELIGIBLE,
mp-32108,bulk,Mo2P3O11,9.245844e-04,0.01,ELIGIBLE,
mp-3612,bulk,NbSbO4,5.053358e-06,0.01,ELIGIBLE,
mp-37207,bulk,Li5GaO4,1.475921e-09,0.01,ELIGIBLE,
mp-37888,bulk,In2HgTe4,1.653650e-09,0.01,ELIGIBLE,
mp-435,bulk,ThSn3,1.294539e-08,0.01,ELIGIBLE,
mp-505574,bulk,Co2Mo4C,3.251948e-04,0.01,ELIGIBLE,
mp-540547,bulk,Sm2Co7,2.915782e-03,0.01,ELIGIBLE,
mp-555976,bulk,Na2TiSiO5,1.908063e-05,0.01,ELIGIBLE,
mp-557569,bulk,SmAsS,5.789982e-10,0.01,ELIGIBLE,
mp-560030,bulk,CaF2,7.278630e-09,0.01,ELIGIBLE,
mp-560341,bulk,EuSi2(NO)2,3.051301e-05,0.01,ELIGIBLE,
mp-567278,bulk,Sr(Si3N4)2,7.577306e-03,0.01,ELIGIBLE,
mp-567394,bulk,Ga(MoSe2)4,3.347966e-03,0.01,ELIGIBLE,
mp-567699,bulk,HgB2(CN)8,2.136641e-02,0.01,NON_EVALUABLE_BADER_UNSTABLE,stability floor 2.137e-02 >= threshold 0.01
mp-569678,bulk,Rh4Pb5,5.138688e-04,0.01,ELIGIBLE,
mp-569792,bulk,CuBi,1.062424e-08,0.01,ELIGIBLE,
mp-606377,bulk,Ce2Zn4Ru,8.228282e-09,0.01,ELIGIBLE,
mp-614489,bulk,GdInCu2,4.909634e-08,0.01,ELIGIBLE,
mp-6145,bulk,Ba2LuRuO6,1.878920e-04,0.01,ELIGIBLE,
mp-623043,bulk,GdInRh,5.981153e-09,0.01,ELIGIBLE,
mp-626794,bulk,Ni(HO)2,1.292016e-08,0.01,ELIGIBLE,
mp-631399,bulk,OsPtCl2,2.972374e-09,0.01,ELIGIBLE,
mp-644443,bulk,CaP(HO3)2,2.356097e-09,0.01,ELIGIBLE,
mp-6586,bulk,K2NaAlF6,4.356456e-05,0.01,ELIGIBLE,
mp-675781,bulk,Cu3(Mo3S4)4,1.327968e-08,0.01,ELIGIBLE,
mp-676693,bulk,KCN,2.062629e-09,0.01,ELIGIBLE,
mp-684706,bulk,LaO3,1.900114e-09,0.01,ELIGIBLE,
mp-733522,bulk,NiH12(NO6)2,5.663136e-09,0.01,ELIGIBLE,
mp-733797,bulk,ClO6,4.714348e-09,0.01,ELIGIBLE,
mp-7359,bulk,BaAgAs,2.178368e-09,0.01,ELIGIBLE,
mp-744554,bulk,K2FeP2H3(O4F)2,5.047857e-09,0.01,ELIGIBLE,
mp-752546,bulk,LiTi4O8,1.434044e-05,0.01,ELIGIBLE,
mp-752703,bulk,Li2CoNi3O8,9.442829e-09,0.01,ELIGIBLE,
mp-752866,bulk,V4O7F5,2.851630e-09,0.01,ELIGIBLE,
mp-753183,bulk,CaH4SO6,3.403962e-09,0.01,ELIGIBLE,
mp-753334,bulk,V4O7F5,6.319535e-09,0.01,ELIGIBLE,
mp-753392,bulk,Li2NiOF2,1.170756e-08,0.01,ELIGIBLE,
mp-753521,bulk,Li4Fe3Sb5O16,5.444200e-06,0.01,ELIGIBLE,
mp-753554,bulk,LiCoPO4,3.845896e-09,0.01,ELIGIBLE,
mp-754196,bulk,Ba2SrI6,3.615525e-04,0.01,ELIGIBLE,
mp-756647,bulk,K2YPCO7,6.819762e-06,0.01,ELIGIBLE,
mp-757220,bulk,LuH6(ClO5)3,4.412707e-09,0.01,ELIGIBLE,
mp-758622,bulk,Li3TiFe3O8,8.225422e-09,0.01,ELIGIBLE,
mp-759554,bulk,V3O2F5,5.272225e-09,0.01,ELIGIBLE,
mp-760266,bulk,Li2V2F7,4.677137e-09,0.01,ELIGIBLE,
mp-763177,bulk,Li2VO2F,4.266535e-09,0.01,ELIGIBLE,
mp-7660,bulk,BaRhF6,9.833983e-05,0.01,ELIGIBLE,
mp-766093,bulk,Ti4(Ni5O8)3,7.807398e-04,0.01,ELIGIBLE,
mp-768842,bulk,Li24Mn5Cr7O36,4.225257e-09,0.01,ELIGIBLE,
mp-768987,bulk,Li8BiO6,1.426419e-03,0.01,ELIGIBLE,
mp-771133,bulk,Mn5Cr3O16,5.647042e-06,0.01,ELIGIBLE,
mp-771903,bulk,Fe5Cu(PO4)6,7.436091e-09,0.01,ELIGIBLE,
mp-771968,bulk,LiCo8O9,5.643085e-09,0.01,ELIGIBLE,
mp-772185,bulk,Li6Hf2O7,1.359053e-09,0.01,ELIGIBLE,
mp-773101,bulk,K3Li2Ta6(PO8)3,3.740561e-04,0.01,ELIGIBLE,
mp-776076,bulk,BaSiO3,2.923745e-09,0.01,ELIGIBLE,
mp-776331,bulk,Zr5N5O2,2.682762e-09,0.01,ELIGIBLE,
mp-779079,bulk,Ti3V2P6WO24,4.857349e-09,0.01,ELIGIBLE,
mp-782011,bulk,Gd2Nb2N2O5,3.856270e-09,0.01,ELIGIBLE,
mp-849339,bulk,Mn3O5F,4.585732e-05,0.01,ELIGIBLE,
mp-864652,bulk,Nd3MnAlS7,5.273852e-09,0.01,ELIGIBLE,
mp-864965,bulk,Mg2RhAu,2.006584e-09,0.01,ELIGIBLE,
mp-865006,bulk,Dy2MgAl,9.250101e-05,0.01,ELIGIBLE,
mp-865801,bulk,LuPaTc2,9.631117e-09,0.01,ELIGIBLE,
mp-887511,bulk,Fe5(OF4)2,4.341580e-09,0.01,ELIGIBLE,
mp-8881,bulk,AlAs,1.475033e-10,0.01,ELIGIBLE,
mp-9437,bulk,NbFeSb,1.633978e-08,0.01,ELIGIBLE,
mp-975795,bulk,PrTm3,1.062391e-04,0.01,ELIGIBLE,
mp-976076,bulk,NaAc2Sn,7.119578e-09,0.01,ELIGIBLE,
mp-977372,bulk,Pm2SnHg,3.355407e-09,0.01,ELIGIBLE,
mp-982725,bulk,Nb2RuW,3.565995e-09,0.01,ELIGIBLE,
mp-985702,bulk,AgPb3,8.742317e-05,0.01,ELIGIBLE,
mp-998512,bulk,InPbCl3,3.370834e-06,0.01,ELIGIBLE,
mp-998613,bulk,KGeCl3,1.503112e-09,0.01,ELIGIBLE,
mp-998744,bulk,TlGeCl3,2.567175e-09,0.01,ELIGIBLE,
mp-999450,bulk,NaSmSe2,1.802583e-09,0.01,ELIGIBLE,
nomad---3hBedCnC_e,slab,Ru16O35C4H1,1.630711e-05,0.01,ELIGIBLE,
nomad--1YLlCXKIJKj,slab,Co20,1.108083e-02,0.01,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.108e-02 >= threshold 0.01
nomad--33WrhYeNt5f,slab,Ti20Cl1,5.973351e-04,0.01,ELIGIBLE,
nomad--5wLHf6mG5_K,slab,Co20O1,8.418836e-03,0.01,ELIGIBLE,
nomad--g_dRNdo_53Q,slab,V20,5.818780e-04,0.01,ELIGIBLE,
nomad--kEaPn7WzevZ,slab,Co20O1,1.658079e-04,0.01,ELIGIBLE,
nomad--maT57oivXnQ,slab,Ga15N16H2H1,6.734338e-09,0.01,ELIGIBLE,
nomad--MeUbDBN9nIW,slab,Ti20Cl1,1.539915e-04,0.01,ELIGIBLE,
nomad--O7C25L6mxPu,slab,Cr20,3.946267e-09,0.01,ELIGIBLE,
nomad--ydxPkR4Tatz,slab,Zn20,4.211358e-09,0.01,ELIGIBLE,
nomad-0-ostsntWIk9,slab,V20H1,1.424483e-04,0.01,ELIGIBLE,
nomad-064_5lUOyDQI,slab,Co20O1,2.619803e-09,0.01,ELIGIBLE,
nomad-0HydAdmxidgt,slab,Co20Cl1,5.310376e-04,0.01,ELIGIBLE,
nomad-0J594sjoAqDW,slab,Co20H1,5.785642e-09,0.01,ELIGIBLE,
nomad-0JxkdxfFTtnZ,slab,Co20O1,2.623443e-09,0.01,ELIGIBLE,
nomad-0kvBRPSc8RU6,slab,Sc20,5.221229e-05,0.01,ELIGIBLE,
nomad-0pSeEEz7rc0X,slab,Fe20,5.920215e-04,0.01,ELIGIBLE,
nomad-0xMhYZKiiVKL,slab,Fe20O1,4.393145e-09,0.01,ELIGIBLE,
nomad-19wSfSWChOSI,slab,Fe20,4.327044e-09,0.01,ELIGIBLE,
nomad-1CIlfNcWTE4X,slab,Ga15N15H3H3,8.523022e-09,0.01,ELIGIBLE,
nomad-1DBJPWgjPfWO,slab,Ti20Cl1,7.901621e-05,0.01,ELIGIBLE,
nomad-1Few3hG0Dkat,slab,Fe20O1,3.704564e-05,0.01,ELIGIBLE,
nomad-1iTKfRU16qFo,slab,Sc20H1,1.909272e-05,0.01,ELIGIBLE,
nomad-1sSuZTi8blPO,slab,Ti20H1,2.465350e-03,0.01,ELIGIBLE,
nomad-1urv55npagDc,slab,Ga14N14,7.463901e-09,0.01,ELIGIBLE,
nomad-1xNwoQ8q8XXI,slab,Co20Cl1,3.232499e-09,0.01,ELIGIBLE,
nomad-28WEed2y6N1X,slab,Sc20H1,1.705428e-05,0.01,ELIGIBLE,
nomad-2C9dg1L8liw7,slab,Ti20H1,1.097649e-03,0.01,ELIGIBLE,
nomad-2iwRdQb9gzT1,slab,V20,1.429864e-03,0.01,ELIGIBLE,
nomad-3ermMygSkKxT,slab,H3C1O31Ru16,1.547288e-05,0.01,ELIGIBLE,
nomad-3Rqsfa2-hyu7,slab,Ti20O1,3.870710e-09,0.01,ELIGIBLE,
nomad-4BR68d4gtTyq,slab,Ga20N22H2H2,8.024839e-09,0.01,ELIGIBLE,
nomad-4CA6DwNaypkT,slab,Pd20,1.026812e-02,0.01,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.027e-02 >= threshold 0.01
nomad-4hOaTvLmAUuc,slab,Cu20O1,2.255106e-03,0.01,ELIGIBLE,
nomad-4khM-ZQ6rM_L,slab,Fe20Cl1,6.521960e-09,0.01,ELIGIBLE,
nomad-4TmN2lwz6DHx,slab,Ti20H1,2.365846e-09,0.01,ELIGIBLE,
nomad-4U-g_t9kIPQS,slab,Sc20H1,4.430783e-09,0.01,ELIGIBLE,
nomad-5_7vAQzUevH0,slab,Zn20Cl1,8.823594e-03,0.01,ELIGIBLE,
nomad-5HCYH3PtBIoR,slab,Sc20Cl1,1.792029e-05,0.01,ELIGIBLE,
nomad-61GFUgm3lTUg,slab,Ru16C3O33,3.464618e-04,0.01,ELIGIBLE,
nomad-6o4AmsigmNP5,slab,H1C3O34Ru16,2.450082e-04,0.01,ELIGIBLE,
nomad-6x45-ylTvOvZ,slab,Ga16N16H2H2,8.019008e-09,0.01,ELIGIBLE,
nomad-7OdXN2bFHmUg,slab,Ru16C4O35H1,1.297813e-04,0.01,ELIGIBLE,
nomad-8eTSyDPSGSwy,slab,H3C4O35Ru16,3.249701e-09,0.01,ELIGIBLE,
nomad-8Hl4JATTj5Fp,slab,Cr20,4.144677e-05,0.01,ELIGIBLE,
nomad-8tU1rEspJ26T,slab,Sc20,6.708390e-03,0.01,ELIGIBLE,
nomad-8ZPelCNdN_TR,slab,Mn20O1,1.063155e-04,0.01,ELIGIBLE,
nomad-9jQMkfdCbgX_,slab,Co20,1.143649e-03,0.01,ELIGIBLE,
nomad-9xtsrVZD5SSK,slab,Ga11N11,2.290547e-05,0.01,ELIGIBLE,
nomad-A5zDMCxBBUYc,slab,Fe20O1,7.004302e-04,0.01,ELIGIBLE,
nomad-AUrOZMeLzRg5,slab,V20O1,2.644435e-05,0.01,ELIGIBLE,
nomad-BbyKgzzvPkrI,slab,O31Ru16,5.311877e-09,0.01,ELIGIBLE,
nomad-BiuRBghVF7ns,slab,Pt20O1,7.994711e-04,0.01,ELIGIBLE,
nomad-BMoyqNd6y06X,slab,Ru16C4O34H3,1.253597e-04,0.01,ELIGIBLE,
nomad-CHORxT-fP4dV,slab,Ga10N11H1,5.955879e-04,0.01,ELIGIBLE,
nomad-E0rr8BI_hRlR,slab,Ru16C3O34H1,3.950193e-09,0.01,ELIGIBLE,
nomad-Ek0B30z0bVyP,slab,Ru16C4O34H3,4.367292e-09,0.01,ELIGIBLE,
nomad-FPTBoTAPMQA8,slab,Ga15N15H2H1,1.000163e-08,0.01,ELIGIBLE,
nomad-FVlJ8rpkyGT5,slab,Ga15N15,6.813892e-09,0.01,ELIGIBLE,
nomad-M8BV9zowas8w,slab,H4C1O31Ru16,4.389401e-09,0.01,ELIGIBLE,
nomad-MgLl-OZz9clr,slab,Ga2N2,2.757427e-05,0.01,ELIGIBLE,
nomad-Q4xDULo89hwd,slab,Ga22N22,9.423415e-09,0.01,ELIGIBLE,
nomad-SzuB_oB4XzfT,slab,Ga22N22H2H2,4.457149e-09,0.01,ELIGIBLE,
nomad-VNlX3_0OCG9w,slab,Ga11N10H1,6.216520e-04,0.01,ELIGIBLE,
nomad-VyA9ivUfcKNR,slab,H3C1O32Ru16,3.940942e-09,0.01,ELIGIBLE,
nomad-WjYAcipcgiRI,slab,Ga16N14H2,1.069737e-08,0.01,ELIGIBLE,
nomad-Z7Uu-1P6k4r9,slab,Ru16C4O34H4,3.405137e-09,0.01,ELIGIBLE,
nomad-ZvTQv6REajO4,slab,H1C1O32Ru16,3.006338e-06,0.01,ELIGIBLE,
